ARG Name	Drug Class	Resistance Mechanism	Updated Resistance Mechanism
PMI35_00271	beta_lactam	antibiotic inactivation	antibiotic inactivation
SZ54_3010	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaTEM	beta_lactam	antibiotic inactivation	antibiotic inactivation
ica_05539	beta_lactam	antibiotic inactivation	antibiotic inactivation
BA1DRAFT_00723	beta_lactam	antibiotic inactivation	antibiotic inactivation
arnD	glycopeptide	antibiotic inactivation	antibiotic inactivation
AW879_13615	chloramphenicol	antibiotic inactivation	antibiotic inactivation
SP99_00894	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AAC(6')-31	aminoglycoside	antibiotic inactivation	antibiotic inactivation
L360_00404	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADM90_08130	chloramphenicol	antibiotic inactivation	antibiotic inactivation
ALO50_101023	beta_lactam	antibiotic inactivation	antibiotic inactivation
JI76_37075	aminoglycoside	antibiotic inactivation	antibiotic inactivation
WH87_16890	aminoglycoside	antibiotic inactivation	antibiotic inactivation
MHB_001273	beta_lactam	antibiotic inactivation	antibiotic inactivation
O59_000556	beta_lactam	antibiotic inactivation	antibiotic inactivation
AT258_18160	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1016_02750	beta_lactam	antibiotic inactivation	antibiotic inactivation
AEAC466_20400	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Ant3Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
IIU_05946	beta_lactam	antibiotic inactivation	antibiotic inactivation
C161_10563	chloramphenicol	antibiotic inactivation	antibiotic inactivation
BALCAV_0219240	chloramphenicol	antibiotic inactivation	antibiotic inactivation
IV01_13870	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaOXY	beta_lactam	antibiotic inactivation	antibiotic inactivation
AC240_12925	beta_lactam	antibiotic inactivation	antibiotic inactivation
oleD	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
ykris0001_260	beta_lactam	antibiotic inactivation	antibiotic inactivation
SBI_00203	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ABB26_03985	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ICS_03162	beta_lactam	antibiotic inactivation	antibiotic inactivation
AMQ68_09385	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1170_03087	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ASD52_25030	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ERS008531_02079	aminoglycoside	antibiotic inactivation	antibiotic inactivation
F889_00606	beta_lactam	antibiotic inactivation	antibiotic inactivation
AAV95_16190	beta_lactam	antibiotic inactivation	antibiotic inactivation
sul2	sulfonamide	antibiotic target replacement	antibiotic target replacement
ETAF_2879	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASE04_11055	beta_lactam	antibiotic inactivation	antibiotic inactivation
GS18_0220900	beta_lactam	antibiotic inactivation	antibiotic inactivation
RMCB_2111	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI31_05012	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASC92_22490	beta_lactam	antibiotic inactivation	antibiotic inactivation
Closa_2701	chloramphenicol	antibiotic inactivation	antibiotic inactivation
JM78_10775	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADK97_23745	beta_lactam	antibiotic inactivation	antibiotic inactivation
AMQ84_28155	chloramphenicol	antibiotic inactivation	antibiotic inactivation
B590_25524	chloramphenicol	antibiotic inactivation	antibiotic inactivation
F895_00180	beta_lactam	antibiotic inactivation	antibiotic inactivation
M992_2411	beta_lactam	antibiotic inactivation	antibiotic inactivation
Mmwyl1_0154	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaRAHN-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN978_04976	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM19038_2988	chloramphenicol	antibiotic inactivation	antibiotic inactivation
tetB(P)	tetracycline	antibiotic target protection	antibiotic target protection
BN537_02049	beta_lactam	antibiotic target replacement	antibiotic target replacement
AKG12_05750	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BAVI_12359	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blaB	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASG66_02340	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM19045_309	chloramphenicol	antibiotic inactivation	antibiotic inactivation
FC68_GL001087	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AT258_08370	beta_lactam	antibiotic inactivation	antibiotic inactivation
TEM	beta_lactam	antibiotic inactivation	antibiotic inactivation
NI25_18235	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AS188_14525	beta_lactam	antibiotic target replacement	antibiotic target replacement
XD36_3096	beta_lactam	antibiotic inactivation	antibiotic inactivation
AOG23_11490	aminoglycoside	antibiotic inactivation	antibiotic inactivation
TPA0598_07_06890	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AU385_04395	beta_lactam	antibiotic inactivation	antibiotic inactivation
fusH	fusidic_acid	antibiotic inactivation	antibiotic inactivation
Smed_4921	beta_lactam	antibiotic inactivation	antibiotic inactivation
AADA2	aminoglycoside	antibiotic inactivation	antibiotic inactivation
III_03076	chloramphenicol	antibiotic inactivation	antibiotic inactivation
bpmyx0001_49550	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaOXA-48-like	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-77	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASD83_19545	aminoglycoside	antibiotic inactivation	antibiotic inactivation
SR38_06470	chloramphenicol	antibiotic inactivation	antibiotic inactivation
OXA-101	beta_lactam	antibiotic inactivation	antibiotic inactivation
CCC_03326	beta_lactam	antibiotic target replacement	antibiotic target replacement
F887_03629	beta_lactam	antibiotic inactivation	antibiotic inactivation
F944_03268	beta_lactam	antibiotic inactivation	antibiotic inactivation
C176_21376	chloramphenicol	antibiotic inactivation	antibiotic inactivation
vanB	glycopeptide	antibiotic target alteration	antibiotic target alteration
G113_02924	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASD74_10480	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AUL38_02610	chloramphenicol	antibiotic inactivation	antibiotic inactivation
ASE85_08680	aminoglycoside	antibiotic inactivation	antibiotic inactivation
D782_4108	beta_lactam	antibiotic inactivation	antibiotic inactivation
QQ25_13645	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP	beta_lactam	antibiotic inactivation	antibiotic inactivation
MDG	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASD14_09375	aminoglycoside	antibiotic inactivation	antibiotic inactivation
JS81_09190	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blaTEM-193	beta_lactam	antibiotic inactivation	antibiotic inactivation
P308_21355	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM19047_1264	chloramphenicol	antibiotic inactivation	antibiotic inactivation
WT44_29000	beta_lactam	antibiotic inactivation	antibiotic inactivation
M918_20150	chloramphenicol	antibiotic inactivation	antibiotic inactivation
XPU_0115	aminoglycoside	antibiotic inactivation	antibiotic inactivation
NA29_04535	beta_lactam	antibiotic inactivation	antibiotic inactivation
Avi_3210	aminoglycoside	antibiotic inactivation	antibiotic inactivation
nps-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
BE21_07815	bacitracin	antibiotic target alteration	antibiotic target alteration
BN612_00522	chloramphenicol	antibiotic inactivation	antibiotic inactivation
NJ69_08675	polymyxin	antibiotic target alteration	antibiotic target alteration
TQ38_01765	aminoglycoside	antibiotic inactivation	antibiotic inactivation
bcere0020_8040	beta_lactam	antibiotic inactivation	antibiotic inactivation
LMG16407_00540	aminoglycoside	antibiotic inactivation	antibiotic inactivation
XI25_15495	chloramphenicol	antibiotic inactivation	antibiotic inactivation
PN96_22825	beta_lactam	antibiotic inactivation	antibiotic inactivation
Q614_SASC00125G0001	beta_lactam	antibiotic inactivation	antibiotic inactivation
NP83_07915	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1526_02323	chloramphenicol	antibiotic inactivation	antibiotic inactivation
SG34_20990	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ERS008437_00710	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AB447_210840	beta_lactam	antibiotic inactivation	antibiotic inactivation
catA15	chloramphenicol	antibiotic inactivation	antibiotic inactivation
TEM-214	beta_lactam	antibiotic inactivation	antibiotic inactivation
SXM_2059	beta_lactam	antibiotic inactivation	antibiotic inactivation
VL15_12295	beta_lactam	antibiotic inactivation	antibiotic inactivation
AB204_07245	aminoglycoside	antibiotic inactivation	antibiotic inactivation
HCH_03105	aminoglycoside	antibiotic inactivation	antibiotic inactivation
JP75_11845	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BL1_pse	beta_lactam	antibiotic inactivation	antibiotic inactivation
UCMB321_2366	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1171_00331	beta_lactam	antibiotic inactivation	antibiotic inactivation
SHV-12	beta_lactam	antibiotic inactivation	antibiotic inactivation
UB43_11210	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PMI28_03401	beta_lactam	antibiotic inactivation	antibiotic inactivation
VK98_00160	beta_lactam	antibiotic inactivation	antibiotic inactivation
SS37_25035	beta_lactam	antibiotic inactivation	antibiotic inactivation
T458_11180	beta_lactam	antibiotic inactivation	antibiotic inactivation
ECTPHS_02421	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BW21_4525	beta_lactam	antibiotic inactivation	antibiotic inactivation
I1A_001895	beta_lactam	antibiotic inactivation	antibiotic inactivation
tsnr	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
AH4AK4_1197	beta_lactam	antibiotic inactivation	antibiotic inactivation
AC244_07670	aminoglycoside	antibiotic inactivation	antibiotic inactivation
KR51_00036950	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sros_3941	aminoglycoside	antibiotic inactivation	antibiotic inactivation
JN27_22530	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BURMUCGD1_3867	beta_lactam	antibiotic inactivation	antibiotic inactivation
XBP1_2830046	beta_lactam	antibiotic inactivation	antibiotic inactivation
ABW06_06170	beta_lactam	antibiotic inactivation	antibiotic inactivation
MEG1DRAFT_00859	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AB182_14595	chloramphenicol	antibiotic inactivation	antibiotic inactivation
K413DRAFT_0385	chloramphenicol	antibiotic inactivation	antibiotic inactivation
ARN_33380	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AU186_01365	beta_lactam	antibiotic inactivation	antibiotic inactivation
AA309_10385	aminoglycoside	antibiotic inactivation	antibiotic inactivation
MSMEG_2658	beta_lactam	antibiotic inactivation	antibiotic inactivation
tet	tetracycline	antibiotic target protection	antibiotic target protection
LA66_00505	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Q607_CBUC00214G0114	chloramphenicol	antibiotic inactivation	antibiotic inactivation
IIQ_01397	beta_lactam	antibiotic inactivation	antibiotic inactivation
RUMOBE_04223	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AO265_40620	aminoglycoside	antibiotic inactivation	antibiotic inactivation
EC81_0210815	beta_lactam	antibiotic inactivation	antibiotic inactivation
WS72_29690	aminoglycoside	antibiotic inactivation	antibiotic inactivation
QnrS	quinolone	antibiotic target protection	antibiotic target protection
BURMUCGD2_6517	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASD86_23995	aminoglycoside	antibiotic inactivation	antibiotic inactivation
HDEF_1020	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN2156_03163	aminoglycoside	antibiotic inactivation	antibiotic inactivation
RSKD131_3983	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASG61_24945	beta_lactam	antibiotic inactivation	antibiotic inactivation
ampS	beta_lactam	antibiotic inactivation	antibiotic inactivation
A370_04634	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AB26_5377	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI39_02504	beta_lactam	antibiotic inactivation	antibiotic inactivation
APH(6)-Id	aminoglycoside	antibiotic inactivation	antibiotic inactivation
DK26_15510	aminoglycoside	antibiotic inactivation	antibiotic inactivation
LS69_04805	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-VIIIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaP	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL2a_III2	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN133_883	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaCTX-M-14	beta_lactam	antibiotic inactivation	antibiotic inactivation
arnC_1	polymyxin	antibiotic target alteration	antibiotic target alteration
TLE	beta_lactam	antibiotic inactivation	antibiotic inactivation
AYJ56_20090	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AM274_25265	aminoglycoside	antibiotic inactivation	antibiotic inactivation
kanR	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ASG66_11460	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaoxa58	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI11_04530	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASE46_23765	chloramphenicol	antibiotic inactivation	antibiotic inactivation
ERS370000_04144	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AF332_00150	beta_lactam	antibiotic inactivation	antibiotic inactivation
SK35_04809	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaWIN-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
Bxe_B1593	beta_lactam	antibiotic inactivation	antibiotic inactivation
MED297_13282	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ASH00_00180	beta_lactam	antibiotic target replacement	antibiotic target replacement
Ndas_2389	beta_lactam	antibiotic inactivation	antibiotic inactivation
ABW45_03845	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ASE98_04520	aminoglycoside	antibiotic inactivation	antibiotic inactivation
mfd	quinolone	antibiotic target alteration	antibiotic target alteration
BAZO_16289	aminoglycoside	antibiotic inactivation	antibiotic inactivation
F948_02950	beta_lactam	antibiotic inactivation	antibiotic inactivation
LLO_1201	beta_lactam	antibiotic inactivation	antibiotic inactivation
AM629_00230	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Rin_00014660	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASD24_10300	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AQZ52_14750	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BL2e_cepa	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN137_2547	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASE48_07805	beta_lactam	antibiotic inactivation	antibiotic inactivation
bla-oxa-58	beta_lactam	antibiotic inactivation	antibiotic inactivation
WN59_12960	aminoglycoside	antibiotic inactivation	antibiotic inactivation
UQ64_03725	aminoglycoside	antibiotic inactivation	antibiotic inactivation
eptA	polymyxin	antibiotic target alteration	antibiotic target alteration
HMPREF1568_2704	beta_lactam	antibiotic inactivation	antibiotic inactivation
L810_4248	beta_lactam	antibiotic inactivation	antibiotic inactivation
F994_00492	beta_lactam	antibiotic inactivation	antibiotic inactivation
AT272_13830	chloramphenicol	antibiotic inactivation	antibiotic inactivation
VT50_06085	chloramphenicol	antibiotic inactivation	antibiotic inactivation
P308_30500	aminoglycoside	antibiotic inactivation	antibiotic inactivation
CARB-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
Q644_14880	aminoglycoside	antibiotic inactivation	antibiotic inactivation
V070_01895	beta_lactam	antibiotic inactivation	antibiotic inactivation
AO353_20470	beta_lactam	antibiotic inactivation	antibiotic inactivation
RMCC_2286	beta_lactam	antibiotic inactivation	antibiotic inactivation
VI26_20275	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Lqua_0403	beta_lactam	antibiotic inactivation	antibiotic inactivation
SAZU_7360	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaCMY-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
CSCA_3312	chloramphenicol	antibiotic inactivation	antibiotic inactivation
WS62_05630	aminoglycoside	antibiotic inactivation	antibiotic inactivation
UB46_32240	beta_lactam	antibiotic inactivation	antibiotic inactivation
cat3	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catP	chloramphenicol	antibiotic inactivation	antibiotic inactivation
F950_00947	beta_lactam	antibiotic inactivation	antibiotic inactivation
aadA2	aminoglycoside	antibiotic inactivation	antibiotic inactivation
catA1	chloramphenicol	antibiotic inactivation	antibiotic inactivation
aacA	aminoglycoside	antibiotic inactivation	antibiotic inactivation
EDWATA_01448	polymyxin	antibiotic target alteration	antibiotic target alteration
EDWATA_03336	beta_lactam	antibiotic inactivation	antibiotic inactivation
Clocel_1050	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AM499_05690	chloramphenicol	antibiotic inactivation	antibiotic inactivation
CTX-M-55	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF9445_00715	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1181_02941	beta_lactam	antibiotic inactivation	antibiotic inactivation
ThisiDRAFT_0902	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-226	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1486_01041	beta_lactam	antibiotic inactivation	antibiotic inactivation
ErmB	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
PMI22_02065	beta_lactam	antibiotic inactivation	antibiotic inactivation
F981_03472	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADT22_00070	chloramphenicol	antibiotic inactivation	antibiotic inactivation
BL1_ampc	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sput200_1981	beta_lactam	antibiotic inactivation	antibiotic inactivation
F994_00202	beta_lactam	antibiotic inactivation	antibiotic inactivation
AU192_24225	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN558_00761	chloramphenicol	antibiotic inactivation	antibiotic inactivation
PG5_32970	beta_lactam	antibiotic inactivation	antibiotic inactivation
L370_01734	beta_lactam	antibiotic inactivation	antibiotic inactivation
AWI43_09975	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blacep05	beta_lactam	antibiotic inactivation	antibiotic inactivation
Mchl_1758	beta_lactam	antibiotic inactivation	antibiotic inactivation
XDD1_0504	aminoglycoside	antibiotic inactivation	antibiotic inactivation
VL14_10265	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN979_01272	aminoglycoside	antibiotic inactivation	antibiotic inactivation
oxa9	beta_lactam	antibiotic inactivation	antibiotic inactivation
ACA30_14580	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASG97_25155	beta_lactam	antibiotic inactivation	antibiotic inactivation
CLL_A2128	chloramphenicol	antibiotic inactivation	antibiotic inactivation
yndN	fosfomycin	antibiotic inactivation	antibiotic inactivation
MfpA	quinolone	antibiotic target protection	antibiotic target protection
ADL27_50800	beta_lactam	antibiotic inactivation	antibiotic inactivation
SHV-167	beta_lactam	antibiotic inactivation	antibiotic inactivation
VanHD	glycopeptide	antibiotic target alteration	antibiotic target alteration
JCM19045_414	beta_lactam	antibiotic inactivation	antibiotic inactivation
MycrhN_5650	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADS79_29250	chloramphenicol	antibiotic inactivation	antibiotic inactivation
O166_18240	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PMI30_03884	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASF13_11450	beta_lactam	antibiotic inactivation	antibiotic inactivation
PDC-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
PDENDC454_07895	beta_lactam	antibiotic inactivation	antibiotic inactivation
UC34_00370	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADL21_29550	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sput200_3270	beta_lactam	antibiotic inactivation	antibiotic inactivation
RGCCGE502_28523	beta_lactam	antibiotic inactivation	antibiotic inactivation
RTCIAT899_PC04360	beta_lactam	antibiotic inactivation	antibiotic inactivation
NAS141_18974	beta_lactam	antibiotic inactivation	antibiotic inactivation
SK32_02286	chloramphenicol	antibiotic inactivation	antibiotic inactivation
PZ78_10490	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AO896_03550	chloramphenicol	antibiotic inactivation	antibiotic inactivation
BN452_01100	chloramphenicol	antibiotic inactivation	antibiotic inactivation
FG94_04780	aminoglycoside	antibiotic inactivation	antibiotic inactivation
pmrF_2	polymyxin	antibiotic target alteration	antibiotic target alteration
ANT(2'')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3'')-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ERS133249_01683	beta_lactam	antibiotic inactivation	antibiotic inactivation
SFK315_4868	beta_lactam	antibiotic inactivation	antibiotic inactivation
WH91_09680	aminoglycoside	antibiotic inactivation	antibiotic inactivation
CD31_17265	chloramphenicol	antibiotic inactivation	antibiotic inactivation
NHU_03651	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sbal175_2141	beta_lactam	antibiotic inactivation	antibiotic inactivation
BcrFT9_01992	beta_lactam	antibiotic inactivation	antibiotic inactivation
grm	aminoglycoside	antibiotic target alteration	antibiotic target alteration
HMPREF0880_00216	beta_lactam	antibiotic inactivation	antibiotic inactivation
VanYD	glycopeptide	antibiotic target alteration	antibiotic target alteration
tsnr	thiostrepton	antibiotic target alteration	antibiotic target alteration
oxa-58	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaPER	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI20_03723	beta_lactam	antibiotic inactivation	antibiotic inactivation
AXX16_2525	beta_lactam	antibiotic inactivation	antibiotic inactivation
DP68_01695	chloramphenicol	antibiotic inactivation	antibiotic inactivation
A3K91_1255	beta_lactam	antibiotic inactivation	antibiotic inactivation
AWB76_01197	beta_lactam	antibiotic inactivation	antibiotic inactivation
CF161_04258	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AN964_10735	chloramphenicol	antibiotic inactivation	antibiotic inactivation
WS45_17420	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ASE68_04225	chloramphenicol	antibiotic inactivation	antibiotic inactivation
DM82_6293	beta_lactam	antibiotic inactivation	antibiotic inactivation
VanHA	glycopeptide	antibiotic target alteration	antibiotic target alteration
Ldro_1246	beta_lactam	antibiotic inactivation	antibiotic inactivation
Lstg_3325	beta_lactam	antibiotic inactivation	antibiotic inactivation
Krm	aminoglycoside	antibiotic target alteration	antibiotic target alteration
KONIH1_31700	beta_lactam	antibiotic inactivation	antibiotic inactivation
CCNA_03676	aminoglycoside	antibiotic inactivation	antibiotic inactivation
fosB_2	fosfomycin	antibiotic inactivation	antibiotic inactivation
AWB82_05438	beta_lactam	antibiotic inactivation	antibiotic inactivation
AWB79_01201	beta_lactam	antibiotic inactivation	antibiotic inactivation
AFK71_11355	aminoglycoside	antibiotic inactivation	antibiotic inactivation
RTCIAT899_CH00745	aminoglycoside	antibiotic inactivation	antibiotic inactivation
len-1-like	beta_lactam	antibiotic inactivation	antibiotic inactivation
OA46_09945	beta_lactam	antibiotic inactivation	antibiotic inactivation
VO68_05910	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PROVALCAL_00921	aminoglycoside	antibiotic inactivation	antibiotic inactivation
G114_05220	beta_lactam	antibiotic inactivation	antibiotic inactivation
G039_0303925	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Agau_C200043	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BACUNI_00159	chloramphenicol	antibiotic inactivation	antibiotic inactivation
vph	peptide	antibiotic inactivation	antibiotic inactivation
HMPREF0454_01344	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaCTX-M-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
GLE_1155	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PAAL66ix_06808	beta_lactam	antibiotic inactivation	antibiotic inactivation
Lsan_0267	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM9152_3453	beta_lactam	antibiotic inactivation	antibiotic inactivation
N180_04680	chloramphenicol	antibiotic inactivation	antibiotic inactivation
Shewmr7_2039	beta_lactam	antibiotic inactivation	antibiotic inactivation
tetS	tetracycline	antibiotic target protection	antibiotic target protection
AKG37_13355	chloramphenicol	antibiotic inactivation	antibiotic inactivation
RP75_23205	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaSHV-12	beta_lactam	antibiotic inactivation	antibiotic inactivation
MTS1_02191	chloramphenicol	antibiotic inactivation	antibiotic inactivation
msrA	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
AXZ07_12315	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAY51_12970	chloramphenicol	antibiotic inactivation	antibiotic inactivation
Pat9b_1950	beta_lactam	antibiotic inactivation	antibiotic inactivation
AWB77_01135	beta_lactam	antibiotic inactivation	antibiotic inactivation
PS2015_1163	beta_lactam	antibiotic inactivation	antibiotic inactivation
Lani_0856	beta_lactam	antibiotic inactivation	antibiotic inactivation
GM31_01230	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASD52_30785	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Ldum_0387	beta_lactam	antibiotic inactivation	antibiotic inactivation
Entas_0373	beta_lactam	antibiotic inactivation	antibiotic inactivation
L581_3703	beta_lactam	antibiotic inactivation	antibiotic inactivation
VEB-1a	beta_lactam	antibiotic inactivation	antibiotic inactivation
WQ54_10930	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blaCTX-M-15	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN682_00261	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ADK74_11615	aminoglycoside	antibiotic inactivation	antibiotic inactivation
UAK_02230	chloramphenicol	antibiotic inactivation	antibiotic inactivation
JCM19038_3715	aminoglycoside	antibiotic inactivation	antibiotic inactivation
A936_17376	beta_lactam	antibiotic inactivation	antibiotic inactivation
ALO51_04846	polymyxin	antibiotic target alteration	antibiotic target alteration
ALO68_05557	polymyxin	antibiotic target alteration	antibiotic target alteration
STRNTR1_0556	aminoglycoside	antibiotic inactivation	antibiotic inactivation
SaccyDRAFT_2173	aminoglycoside	antibiotic inactivation	antibiotic inactivation
CMY-85	beta_lactam	antibiotic inactivation	antibiotic inactivation
RS75_08215	aminoglycoside	antibiotic inactivation	antibiotic inactivation
SU60_01350	beta_lactam	antibiotic inactivation	antibiotic inactivation
B932_2238	beta_lactam	antibiotic inactivation	antibiotic inactivation
pac	puromycin	antibiotic inactivation	antibiotic inactivation
BACCAP_04212	chloramphenicol	antibiotic inactivation	antibiotic inactivation
QnrB	quinolone	antibiotic target protection	antibiotic target protection
ASE45_04665	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Mycsm_02498	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF1013_04536	beta_lactam	antibiotic inactivation	antibiotic inactivation
N878_07675	beta_lactam	antibiotic inactivation	antibiotic inactivation
IP83_02945	aminoglycoside	antibiotic inactivation	antibiotic inactivation
P364_0117545	chloramphenicol	antibiotic inactivation	antibiotic inactivation
mecA	beta_lactam	antibiotic target replacement	antibiotic target replacement
PMI17_02969	beta_lactam	antibiotic inactivation	antibiotic inactivation
LHA_1702	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Mpop_1481	beta_lactam	antibiotic inactivation	antibiotic inactivation
H650_24125	chloramphenicol	antibiotic inactivation	antibiotic inactivation
GY21_09535	chloramphenicol	antibiotic inactivation	antibiotic inactivation
fmrO	aminoglycoside	antibiotic target alteration	antibiotic target alteration
Ent638_1533	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iaa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Aac2Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
